"filename", "language", "Vue", "TypeScript", "JSON", "SCSS", "XML", "comment", "blank", "total"
"f:\研奇\dashboard-view\src\App.vue", "Vue", 46, 0, 0, 0, 0, 2, 8, 56
"f:\研奇\dashboard-view\src\api\axios.ts", "TypeScript", 0, 29, 0, 0, 0, 2, 6, 37
"f:\研奇\dashboard-view\src\api\http.ts", "TypeScript", 0, 343, 0, 0, 0, 32, 67, 442
"f:\研奇\dashboard-view\src\api\mock\graph.json", "JSON", 0, 0, 100, 0, 0, 0, 0, 100
"f:\研奇\dashboard-view\src\api\mock\heatMapData.json", "JSON", 0, 0, 199, 0, 0, 0, 1, 200
"f:\研奇\dashboard-view\src\api\mock\index.ts", "TypeScript", 0, 114, 0, 0, 0, 3, 4, 121
"f:\研奇\dashboard-view\src\api\mock\map.json", "JSON", 0, 0, 9, 0, 0, 0, 1, 10
"f:\研奇\dashboard-view\src\api\mock\sankey.json", "JSON", 0, 0, 86, 0, 0, 0, 1, 87
"f:\研奇\dashboard-view\src\api\mock\scatter.json", "JSON", 0, 0, 56, 0, 0, 0, 1, 57
"f:\研奇\dashboard-view\src\api\mock\test.mock.ts", "TypeScript", 0, 220, 0, 0, 0, 18, 2, 240
"f:\研奇\dashboard-view\src\api\mock\treemap.json", "JSON", 0, 0, 50, 0, 0, 0, 1, 51
"f:\研奇\dashboard-view\src\assets\data\demonstration.json", "JSON", 0, 0, 1848, 0, 0, 0, 0, 1848
"f:\研奇\dashboard-view\src\assets\images\Error.svg", "XML", 0, 0, 0, 0, 253, 1, 2, 256
"f:\研奇\dashboard-view\src\assets\images\exception\403.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"f:\研奇\dashboard-view\src\assets\images\exception\404.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"f:\研奇\dashboard-view\src\assets\images\exception\500.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"f:\研奇\dashboard-view\src\assets\images\exception\developing.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"f:\研奇\dashboard-view\src\assets\images\exception\load-error.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"f:\研奇\dashboard-view\src\assets\images\exception\nodata.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"f:\研奇\dashboard-view\src\assets\images\tips\loadingSvg.svg", "XML", 0, 0, 0, 0, 19, 0, 0, 19
"f:\研奇\dashboard-view\src\components\GoAppProvider\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\GoAppProvider\index.vue", "Vue", 25, 0, 0, 0, 0, 0, 4, 29
"f:\研奇\dashboard-view\src\components\GoIconify\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\GoIconify\index.vue", "Vue", 33, 0, 0, 0, 0, 0, 2, 35
"f:\研奇\dashboard-view\src\components\GoLangSelect\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\GoLangSelect\index.vue", "Vue", 17, 0, 0, 0, 0, 0, 4, 21
"f:\研奇\dashboard-view\src\components\GoLoading\LoadingSkeleton.vue", "Vue", 5, 0, 0, 0, 0, 1, 0, 6
"f:\研奇\dashboard-view\src\components\GoLoading\index.ts", "TypeScript", 0, 12, 0, 0, 0, 2, 4, 18
"f:\研奇\dashboard-view\src\components\GoLoading\index.vue", "Vue", 15, 0, 0, 0, 0, 1, 1, 17
"f:\研奇\dashboard-view\src\components\GoReload\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\GoReload\index.vue", "Vue", 18, 0, 0, 0, 0, 0, 3, 21
"f:\研奇\dashboard-view\src\components\GoSkeleton\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\GoSkeleton\index.vue", "Vue", 37, 0, 0, 0, 0, 0, 2, 39
"f:\研奇\dashboard-view\src\components\GoSystemInfo\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\GoSystemInfo\index.vue", "Vue", 56, 0, 0, 0, 0, 0, 8, 64
"f:\研奇\dashboard-view\src\components\GoSystemSet\index.d.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 1, 13
"f:\研奇\dashboard-view\src\components\GoSystemSet\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\GoSystemSet\index.vue", "Vue", 190, 0, 0, 0, 0, 4, 14, 208
"f:\研奇\dashboard-view\src\components\GoThemeSelect\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\components\GoThemeSelect\index.vue", "Vue", 20, 0, 0, 0, 0, 0, 3, 23
"f:\研奇\dashboard-view\src\components\GoUserInfo\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
